Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,6,65.0,8450,2,,1,1,1,1,1,6,3,3,1.0,4,7,5,2003,2003,2,2,15,15,2.0,196.0,2,3,3,2.0,3.0,4.0,1.0,706,6.0,0,150,856,2,1,1,1.0,856,854,0,1710,1,0,2,1,3,1,2,8,1,0,,2.0,2003.0,2.0,2,548,3.0,3.0,1,0,61,0,0,0,0,,,,0,2,2008,1,1,208500
2,20,6,80.0,9600,2,,1,1,1,4,1,25,2,3,1.0,1,6,8,1976,1976,2,2,9,9,4.0,0.0,3,3,2,2.0,3.0,1.0,2.0,978,6.0,0,284,1262,2,1,1,1.0,1262,0,0,1262,0,1,2,0,3,1,3,6,1,1,3.0,2.0,1976.0,2.0,2,460,3.0,3.0,1,298,0,0,0,0,0,,,,0,5,2007,1,1,181500
3,60,6,68.0,11250,2,,2,1,1,1,1,6,3,3,1.0,4,7,5,2001,2002,2,2,15,15,2.0,162.0,2,3,3,2.0,3.0,3.0,1.0,486,6.0,0,434,920,2,1,1,1.0,920,866,0,1786,1,0,2,1,3,1,2,6,1,1,3.0,2.0,2001.0,2.0,2,608,3.0,3.0,1,0,42,0,0,0,0,,,,0,9,2008,1,1,223500
4,70,6,60.0,9550,2,,2,1,1,2,1,7,3,3,1.0,4,7,5,1915,1970,2,2,16,17,4.0,0.0,3,3,1,3.0,2.0,4.0,2.0,216,6.0,0,540,756,2,2,1,1.0,961,756,0,1717,1,0,1,0,3,1,2,7,1,1,2.0,6.0,1998.0,3.0,3,642,3.0,3.0,1,0,35,272,0,0,0,,,,0,2,2006,1,2,140000
5,60,6,84.0,14260,2,,2,1,1,4,1,14,3,3,1.0,4,8,5,2000,2000,2,2,15,15,2.0,350.0,2,3,3,2.0,3.0,2.0,1.0,655,6.0,0,490,1145,2,1,1,1.0,1145,1053,0,2198,1,0,2,1,4,1,2,9,1,1,3.0,2.0,2000.0,2.0,3,836,3.0,3.0,1,192,84,0,0,0,0,,,,0,12,2008,1,1,250000
6,50,6,85.0,14115,2,,2,1,1,1,1,12,3,3,1.0,2,5,5,1993,1995,2,2,15,15,4.0,0.0,3,3,6,2.0,3.0,4.0,1.0,732,6.0,0,64,796,2,1,1,1.0,796,566,0,1362,1,0,1,1,1,1,3,5,1,0,,2.0,1993.0,3.0,2,480,3.0,3.0,1,40,30,0,320,0,0,,2.0,4.0,700,10,2009,1,1,143000
7,20,6,75.0,10084,2,,1,1,1,1,1,22,3,3,1.0,1,8,5,2004,2005,2,2,15,15,5.0,186.0,2,3,3,1.0,3.0,2.0,1.0,1369,6.0,0,317,1686,2,1,1,1.0,1694,0,0,1694,1,0,2,0,3,1,2,7,1,1,2.0,2.0,2004.0,2.0,2,636,3.0,3.0,1,255,57,0,0,0,0,,,,0,8,2007,1,1,307000
8,60,6,,10382,2,,2,1,1,2,1,17,6,3,1.0,4,7,6,1973,1973,2,2,7,7,5.0,240.0,3,3,2,2.0,3.0,3.0,2.0,859,3.0,32,216,1107,2,1,1,1.0,1107,983,0,2090,1,0,2,1,3,1,3,7,1,2,3.0,2.0,1973.0,2.0,2,484,3.0,3.0,1,235,204,228,0,0,0,,,4.0,350,11,2009,1,1,200000
9,50,8,51.0,6120,2,,1,1,1,1,1,18,1,3,1.0,2,7,5,1931,1950,2,2,4,17,4.0,0.0,3,3,1,3.0,3.0,4.0,6.0,0,6.0,0,952,952,2,2,1,3.0,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,3.0,6.0,1931.0,3.0,2,468,4.0,3.0,1,90,0,205,0,0,0,,,,0,4,2008,1,2,129900
10,190,6,50.0,7420,2,,1,1,1,2,1,4,1,1,2.0,3,5,6,1939,1950,2,2,9,9,4.0,0.0,3,3,1,3.0,3.0,4.0,1.0,851,6.0,0,140,991,2,1,1,1.0,1077,0,0,1077,1,0,1,0,2,2,3,5,1,2,3.0,2.0,1939.0,2.0,1,205,2.0,3.0,1,0,4,0,0,0,0,,,,0,1,2008,1,1,118000
11,20,6,70.0,11200,2,,1,1,1,1,1,20,3,3,1.0,1,5,5,1965,1965,4,2,7,7,4.0,0.0,3,3,2,3.0,3.0,4.0,4.0,906,6.0,0,134,1040,2,1,1,1.0,1040,0,0,1040,1,0,1,0,3,1,3,5,1,0,,6.0,1965.0,3.0,1,384,3.0,3.0,1,0,0,0,0,0,0,,,,0,2,2008,1,1,129500
